*  EC          G       LABEL                   ION
    5734.21143     12.0  'Level  156 = F1e212X '   1
    5887.33643     12.0  'Level  157 = F2e212X '   1
    5888.88770     12.0  'Level  158 = F2f212X '   1
    5889.30078     14.0  'Level  159 = F1f214X '   1
    5890.65332     14.0  'Level  160 = F1e214X '   1
    5926.03076     30.0  'Level  161 = F2e130X '   1
    5926.76416     32.0  'Level  162 = F1f132X '   1
    5934.37061     30.0  'Level  163 = F2f130X '   1
    5934.63867     32.0  'Level  164 = F1e132X '   1
    6069.22656     14.0  'Level  165 = F2e214X '   1
    6070.90479     16.0  'Level  166 = F1f216X '   1
    6071.27539     14.0  'Level  167 = F2f214X '   1
    6072.72559     16.0  'Level  168 = F1e216X '   1
    6248.00488     42.0  'Level  169 = F2e042X '   1
    6248.48535     44.0  'Level  170 = F1f044X '   1
    6263.06152     44.0  'Level  171 = F1e044X '   1
    6263.21924     42.0  'Level  172 = F2f042X '   1
    6276.36963     16.0  'Level  173 = F2e216X '   1
    6277.82861     18.0  'Level  174 = F1f218X '   1
    6278.97852     16.0  'Level  175 = F2f216X '   1
    6280.18066     18.0  'Level  176 = F1e218X '   1
    6339.86621     32.0  'Level  177 = F2e132X '   1
    6340.54004     34.0  'Level  178 = F1f134X '   1
    6349.18799     32.0  'Level  179 = F2f132X '   1
    6349.37061     34.0  'Level  180 = F1e134X '   1
    6508.51465     18.0  'Level  181 = F2e218X '   1
    6509.79980     20.0  'Level  182 = F1f220X '   1
    6511.74316     18.0  'Level  183 = F2f218X '   1
    6512.74268     20.0  'Level  184 = F1e220X '   1
    6765.37402     20.0  'Level  185 = F2e220X '   1
    6766.51855     22.0  'Level  186 = F1f222X '   1
    6769.27979     20.0  'Level  187 = F2f220X '   1
    6770.10889     22.0  'Level  188 = F1e222X '   1
    6776.53857     34.0  'Level  189 = F2e134X '   1
    6777.16064     36.0  'Level  190 = F1f136X '   1
    6786.87500     34.0  'Level  191 = F2f134X '   1
    6786.97998     36.0  'Level  192 = F1e136X '   1
    6812.96973     44.0  'Level  193 = F2e044X '   1
    6813.42090     46.0  'Level  194 = F1f046X '   1
    6829.13135     46.0  'Level  195 = F1e046X '   1
    6829.34033     44.0  'Level  196 = F2f044X '   1
    7046.62793     22.0  'Level  197 = F2e222X '   1
    7047.65479     24.0  'Level  198 = F1f224X '   1
    7051.26367     22.0  'Level  199 = F2f222X '   1
    7051.94678     24.0  'Level  200 = F1e224X '   1
    7235.52441     36.0  'Level  201 = F2e136X '   1
    7236.10059     38.0  'Level  202 = F1f138X '   1
    7246.90283     36.0  'Level  203 = F2f136X '   1
    7246.93701     38.0  'Level  204 = F1e138X '   1
    7351.92285     24.0  'Level  205 = F2e224X '   1
    7352.85059     26.0  'Level  206 = F1f226X '   1
    7357.33887     24.0  'Level  207 = F2f224X '   1
    7357.89502     26.0  'Level  208 = F1e226X '   1
    7398.22559     46.0  'Level  209 = F2e046X '   1
    7398.65137     48.0  'Level  210 = F1f048X '   1
    7415.50439     48.0  'Level  211 = F1e048X '   1
    7415.75928     46.0  'Level  212 = F2f046X '   1
    7680.87695     26.0  'Level  213 = F2e226X '   1
    7681.72021     28.0  'Level  214 = F1f228X '   1
    7687.12012     26.0  'Level  215 = F2f226X '   1
    7687.56396     28.0  'Level  216 = F1e228X '   1
    7716.27490     38.0  'Level  217 = F2e138X '   1
    7716.81006     40.0  'Level  218 = F1f140X '   1
    7728.68799     40.0  'Level  219 = F1e140X '   1
    7728.71875     38.0  'Level  220 = F2f138X '   1
    7833.06445      2.0  'Level  221 = F1e32X '   1
    7833.16309      2.0  'Level  222 = F1f32X '   1
    7850.73779      4.0  'Level  223 = F1f34X '   1
    7850.75000      4.0  'Level  224 = F1e34X '   1
    7894.47021      4.0  'Level  225 = F2e34X '   1
    7894.67969      4.0  'Level  226 = F2f34X '   1
    7899.88232      6.0  'Level  227 = F1f36X '   1
    7900.01855      6.0  'Level  228 = F1e36X '   1
    7971.09229      6.0  'Level  229 = F2e36X '   1
    7971.52344      6.0  'Level  230 = F2f36X '   1
    7974.75342      8.0  'Level  231 = F1f38X '   1
    7975.08105      8.0  'Level  232 = F1e38X '   1
    8003.10938     48.0  'Level  233 = F2e048X '   1
    8003.51270     50.0  'Level  234 = F1f050X '   1
    8021.51172     50.0  'Level  235 = F1e050X '   1
    8021.80811     48.0  'Level  236 = F2f048X '   1
    8033.07861     28.0  'Level  237 = F2e228X '   1
    8033.84814     30.0  'Level  238 = F1f230X '   1
    8040.19141     28.0  'Level  239 = F2f228X '   1
    8040.53516     30.0  'Level  240 = F1e230X '   1
    8072.06299      8.0  'Level  241 = F2e38X '   1
    8072.78174      8.0  'Level  242 = F2f38X '   1
    8074.84131     10.0  'Level  243 = F1f310X '   1
    8075.42676     10.0  'Level  244 = F1e310X '   1
    8197.65820     10.0  'Level  245 = F2e310X '   1
    8198.73047     10.0  'Level  246 = F2f310X '   1
    8199.89355     12.0  'Level  247 = F1f312X '   1
    8200.80273     12.0  'Level  248 = F1e312X '   1
    8218.21777     40.0  'Level  249 = F2e140X '   1
    8218.71777     42.0  'Level  250 = F1f142X '   1
    8231.65527     42.0  'Level  251 = F1e142X '   1
    8231.74609     40.0  'Level  252 = F2f140X '   1
    8347.83301     12.0  'Level  253 = F2e312X '   1
    8349.32129     12.0  'Level  254 = F2f312X '   1
    8349.69727     14.0  'Level  255 = F1f314X '   1
    8350.99414     14.0  'Level  256 = F1e314X '   1
    8408.08789     30.0  'Level  257 = F2e230X '   1
    8408.79297     32.0  'Level  258 = F1f232X '   1
    8416.10938     30.0  'Level  259 = F2f230X '   1
    8416.36230     32.0  'Level  260 = F1e232X '   1
    8522.43750     14.0  'Level  261 = F2e314X '   1
    8524.03027     16.0  'Level  262 = F1f316X '   1
    8524.40430     14.0  'Level  263 = F2f314X '   1
    8525.77637     16.0  'Level  264 = F1e316X '   1
    8626.93750     50.0  'Level  265 = F2e050X '   1
    8627.32227     52.0  'Level  266 = F1f052X '   1
    8646.46582     52.0  'Level  267 = F1e052X '   1
    8646.79883     50.0  'Level  268 = F2f050X '   1
    8721.26562     16.0  'Level  269 = F2e316X '   1
    8722.65137     18.0  'Level  270 = F1f318X '   1
    8723.77148     16.0  'Level  271 = F2f316X '   1
    8724.90723     18.0  'Level  272 = F1e318X '   1
    8740.75977     42.0  'Level  273 = F2e142X '   1
    8741.22656     44.0  'Level  274 = F1f144X '   1
    8755.24121     44.0  'Level  275 = F1e144X '   1
    8755.38477     42.0  'Level  276 = F2f142X '   1
    8805.43750     32.0  'Level  277 = F2e232X '   1
    8806.08789     34.0  'Level  278 = F1f234X '   1
    8814.40234     32.0  'Level  279 = F2f232X '   1
    8814.57422     34.0  'Level  280 = F1e234X '   1
    8944.07031     18.0  'Level  281 = F2e318X '   1
    8945.29102     20.0  'Level  282 = F1f320X '   1
    8947.17090     18.0  'Level  283 = F2f318X '   1
    8948.11426     20.0  'Level  284 = F1e320X '   1
    9190.56641     20.0  'Level  285 = F2e320X '   1
